Xは | Yという -> ものを | 見た
Xか | Yの -> 請求とおいで | なさるだろうと
Xには | Yの -> 請求とおいで | なさるだろうと
Xから -> 取り出して | Yですから -> 願いますと | して
Xから -> 取り出して | Yを -> 願いますと | して
Xを -> 取り出して | Yですから -> 願いますと | して
Xを -> 取り出して | Yを -> 願いますと | して
Xは | Yを -> して | 始める
Xは | Yの -> 御浚いを | 始める
Xは | Yに -> 行われた | 方法でありまして
Xは | Yに -> 行われた | 方法でありまして
Xを -> 絞 | Yの -> 刑に | 処すると
Xに | Yの -> 方法として | 行われた
Xでありまして | Yに -> 行われた | 者であります
Xでありまして | Yとして -> 行われた | 者であります
Xは | Yに -> 行われた | 者であります
Xは | Yとして -> 行われた | 者であります
Xに -> 在っては | Yつけて -> 殺す | 習慣であったそうでございます
Xを -> 釣るして | Yの -> 餌食と | する
Xして -> 見ますと | Yなる -> 語は | 認められます
Xは | Yと -> する -> 意義と | 認められます
Xは | Yを -> 忌み嫌ったように | 思われます
Xは | Yだけを -> して | したそうで御座います
Xは | Yに -> して | したそうで御座います
Xは | Yに -> して | したそうで御座います
Xは | Yだが -> 大丈夫かいと | 入れる
Xか | Yを -> 打った | ものか
Xで -> あらっしゃいましょうから | Yが -> 聞きいいよ | 苦沙弥君とまた
Xは | Yでも -> 事だと | する
Xは | Yを -> 使って | 貰いたいねと
Xは | Yにより -> ますると | 出ております
Xは | Yの -> 二十二巻目に | 出ております
Xが | Yの -> 侍女を | 絞殺するという
Xしても -> 宜しゅうございますが | Yにも -> なりますから | 致します
Xは | Yが -> 出来ますと -> 云わんばかりだ | 苦沙弥君
X -> 好いと | Yに -> なく | 加担する
Xは -> 好いと | Yに -> なく | 加担する
Xは -> 好いと | Yに -> なく | 加担する
X | Yだ -> 事は | 好いと
X | Yな -> 事は | 好いと
X | Yが -> 奥床しくて | 好いと
Xは | Yだ -> 事は | 好いと
Xは | Yな -> 事は | 好いと
Xは | Yが -> 奥床しくて | 好いと
Xは | Yが -> 奥床しくて | 好いと
Xは | Yを -> 弁じええ | 申し上げます
Xするに | Yの -> 方法が | あります
Xは | Yの -> テレマカスが | 括りつけます
Xは | Yを -> 藉りて | 括りつけます
Xは | Yの -> 一端を | 括りつけます
Xが | Yを -> 藉りて | 括りつけます
Xが | Yの -> 一端を | 括りつけます
Xりて | Yの -> 一端を | 括りつけます
Xへ | Yの -> 頭を | 入れておいて
Xへ -> 入れておいて | Yを -> 引張って | 釣し上げた
Xを -> 入れておいて | Yを -> 引張って | 釣し上げた
Xずつ -> 入れておいて | Yを -> 引張って | 釣し上げた
Xだろう | Yを -> 括り付けて | 釣るのです
Xだろう | Yへ -> 括り付けて | 釣るのです
Xだろう | Yの -> 一端も | 釣るのです
Xで | Yを -> 括り付けて | 釣るのです
Xで | Yへ -> 括り付けて | 釣るのです
Xで | Yの -> 一端も | 釣るのです
Xは | Yを -> 括り付けて | 釣るのです
Xは | Yへ -> 括り付けて | 釣るのです
Xは | Yの -> 一端も | 釣るのです
Xです | Yに -> 下ったと -> 見れば | 好いんだろう
Xです | Yが -> 下ったと -> 見れば | 好いんだろう
Xです | Y -> 下ったと -> 見れば | 好いんだろう
Xを | Yの -> ごとく | 括り付けて
Xです | Yの -> 先へ | 景色と
Xです | Yを -> 釣したような | 景色と
Xへ | Yを -> 釣したような | 景色と
Xから | Yの -> 縄を | 下げて
Xか | Yの -> 縄を | 下げて
Xに | Yの -> 足台を | 取りはずすと
Xはあるまい | Yの -> ところかと | 思います
Xに | Yの -> 輪に | なったのを
Xを -> 付けて | Yの -> 頸を | 入れておいて
Xに | Yの -> 場合は | 入れます
Xに | Yを -> 証拠立てて | 入れます
Xは | Yを -> 証拠立てて | 入れます
X | Yと -> し | します
Xを | Yの -> 各部が | 受ける
Xは | Yを -> 見合せて | 云う
Xだから | Yの -> 場合には | 出来ないかも知れない
Xのごとく | Yの -> 方程式が | 立ちます
Xだろうと | Yな -> 事を | 云う
Xは | Yな -> 事を | 云う
Xじゃないかと | Yの -> 体に | 見受けられる
Xも | Yの -> 体に | 見受けられる
Xですが | Yそんな -> 遠慮はいらんから | 略すさと
Xが | Yな -> ところで | 叩く
Xへ -> 移って -> 論じますと | Yに -> 申す -> 字が | 見えますから
Xへ -> 移って -> 論じますと | Yと -> 申す -> 字が | 見えますから
Xが -> 見えますから | Yの -> 刑は | 思われます
Xは | Yから -> 行われた -> ものに | 思われます
Xが | Yで -> 死に切れぬ -> 時は | ありますが
Xが | Yを -> くべき -> ものだとして | ありますが
Xが | Y -> くべき -> ものだとして | ありますが
Xは | Yを -> くべき -> ものだとして | ありますが
Xは | Y -> くべき -> ものだとして | ありますが
Xには | Yの -> 中には | ないと
Xに -> よると | Yが -> ありますが | あるのです
Xに -> よると | Yは -> ありますが | あるのです
Xに -> よると | Yだとして -> ありますが | あるのです
Xが -> 知りませんが | Yで -> 死ねない -> 事が | あるので
Xか -> 知りませんが | Yで -> 死ねない -> 事が | あるので
Xで | Yから -> 飛び降りる -> ときに | 切れてしまったのです
Xには | Yから -> 飛び降りる -> ときに | 切れてしまったのです
Xは | Yが -> 長過ぎて | 着いたので
Xは | Yへ -> くると | 出る
Xが | Yの -> 方を | 向くと
Xは | Yで -> あるだろうかと | 聞く
Xは | Yが -> あるだろうかと | 聞く
Xで | Yくらい -> 延びて -> 生き返る -> 事が | あるだろうかと
Xで | Yが -> 延びて -> 生き返る -> 事が | あるだろうかと
X | Yなどは -> 貰っちゃあ | 知れないぜと
Xは | Yなどは -> 貰っちゃあ | 知れないぜと
Xだね | Yなどは -> 貰っちゃあ | 知れないぜと
Xは | Yが -> 計って | 見たのだから
Xが -> 延びるから | Yが -> 延びると -> 云うより | 壊れるんですからね
Xは -> いたが | Yと -> するので | 帰ってしまった
Xは -> いたが | Yが -> するので | 帰ってしまった
Xは -> いたが | Yを -> するので | 帰ってしまった
Xは -> いたが | Yで -> やめて | 帰ってしまった
Xは -> いたが | Yと -> するので | 帰ってしまった
Xは -> いたが | Yが -> するので | 帰ってしまった
Xは -> いたが | Yを -> するので | 帰ってしまった
Xは -> いたが | Yで -> やめて | 帰ってしまった
Xで -> いたが | Yと -> するので | 帰ってしまった
Xで -> いたが | Yが -> するので | 帰ってしまった
Xで -> いたが | Yを -> するので | 帰ってしまった
Xで -> いたが | Yで -> やめて | 帰ってしまった
Xと -> するので | Yで -> やめて | 帰ってしまった
Xが -> するので | Yで -> やめて | 帰ってしまった
Xを -> するので | Yで -> やめて | 帰ってしまった
Xは | Yにまで -> 論及するはずで | いたが
Xは | Yにまで -> 論及するはずで | いたが
Xで | Yの -> 事だから | ない
Xまた | Y -> 童子のごとく | 舞い込んで来た
Xは | Y -> 童子のごとく | 舞い込んで来た
Xのごとく | Y -> 童子のごとく | 舞い込んで来た
Xとして | Y -> 童子のごとく | 舞い込んで来た
Xは | Yも -> なく | 過ぎたが
Xに -> 着くと | Yを -> 聞いたかいと | 示す
Xは | Yの -> 通り | 陰気である
Xだよ | Yを -> 云う | 男だ
Xだ | Yと -> 云わんより | 方だろう
Xだけは | Yしておいて -> 貰わんと | 関係するからな
Xは | Yを -> 知らない | 田舎者のようじゃないか
Xは -> いいが | Yに -> 云う -> 見世物が | あるだろう
Xは -> いいが | Yと -> 云う -> 見世物が | あるだろう
Xが | Yへ -> 這入って | 見物していると
Xが | Yが -> 這入って | 見物していると
Xが | Yで -> 質問した | そうだ
Xが | Yに -> 質問した | そうだ
Xが | Yか -> 質問した | そうだ
Xは | Yで -> 質問した | そうだ
Xは | Yに -> 質問した | そうだ
Xは | Yか -> 質問した | そうだ
X | Yが -> 見たくて -> たまらん | 男だろう
Xが | Yの -> 印籠を | 見て
X | Yの -> 返事が | 面白いじゃないか
Xは | Yの -> 君子ばかりだから | 云ったんだとさ
Xは -> よかったが | Yの -> 方では | 聞くそうだ
Xが -> よかったが | Yの -> 方では | 聞くそうだ
Xでは | Yを -> 得た -> つもりでし | 聞くそうだ
Xだが | Yで -> 問い掛ける -> ものだから | 得ないのさ
Xは | Yに -> 引き較べて | 表する
Xは | Yか -> 事が | 無いんだから
Xには | Yを -> 取り巻いて | 見物する
Xには | Yから -> 取り巻いて | 見物する
Xは | Yを -> 赤くして | へどもどする
Xさ | Y -> なっ | たんだい
Xでは | Y -> さよならですが | 感心した
Xは | Yと -> 見ていた -> そうだハハハハ | 面白いじゃないか
X | Yでは -> 感心した | ないようだ
X | Yに -> 感心した | ないようだ
X | Yだって -> 感心した | ないようだ
X | Yは -> 感心した | ないようだ
X | Yでも -> 感心した | ないようだ
X | Yだと -> 感心した | ないようだ
X | Yは -> 面白いじゃないか | ないようだ
X | Y -> 面白いじゃないか | ないようだ
X | Yでは -> 感心した | ないようだ
X | Yに -> 感心した | ないようだ
X | Yだって -> 感心した | ないようだ
X | Yは -> 感心した | ないようだ
X | Yでも -> 感心した | ないようだ
X | Yだと -> 感心した | ないようだ
X | Yは -> 面白いじゃないか | ないようだ
X | Y -> 面白いじゃないか | ないようだ
Xならは | Yでは -> 感心した | ないようだ
Xならは | Yに -> 感心した | ないようだ
Xならは | Yだって -> 感心した | ないようだ
Xならは | Yは -> 感心した | ないようだ
Xならは | Yでも -> 感心した | ないようだ
Xならは | Yだと -> 感心した | ないようだ
Xならは | Yは -> 面白いじゃないか | ないようだ
Xならは | Y -> 面白いじゃないか | ないようだ
Xした | Yは -> 面白いじゃないか | ないようだ
Xした | Y -> 面白いじゃないか | ないようだ
Xは | Yの -> 灰を | 落す
Xは | Yの -> 中へ | 落す
Xを | Yの -> 中へ | 落す
Xは | Yを -> 見合わせて | 沈黙する
Xへ | Yは -> 稀有だなと | 見ていると
Xは | Yを -> 擦り付けながら | 這入って来る
Xは | Yへ -> 擦り付けながら | 這入って来る
Xは | Yの -> 上を | 超したくらいだろう
Xから -> 聳えて | Yだけ -> 向って | せり出している
Xから -> 聳えて | Yに -> 向って | せり出している
Xが -> 聳えて | Yだけ -> 向って | せり出している
Xが -> 聳えて | Yに -> 向って | せり出している
Xに -> 聳えて | Yだけ -> 向って | せり出している
Xに -> 聳えて | Yに -> 向って | せり出している
Xが | Yの -> 勾配で | 対立する
Xが | Yくらいな -> 勾配で | 対立する
Xを -> 盗んで来て | Yの -> 真中へ | 据え付けたように
Xへ | Yの -> 石灯籠を | 移した
Xで | Y -> 高くなって | 見たが
Xは | Y -> 高くなって | 見たが
Xでは | Yして -> 行くと | 覗き込んでいる
Xでは | Yへ -> 行くと | 覗き込んでいる
Xして | Yの -> 方へ | 行くと
Xだから | Yが -> 言う -> ときは | きいているとしか
Xだから | Yを -> 言う -> ときは | きいているとしか
Xだから | Yが -> 言うと -> 云わんより | きいているとしか
Xだから | Yを -> 言うと -> 云わんより | きいているとしか
Xは | Yが -> 言うと -> 云わんより | きいているとしか
Xは | Yを -> 言うと -> 云わんより | きいているとしか
Xは | Yを -> 称して | 呼ぶつもりである
X | Yを -> 称して | 呼ぶつもりである
Xは | Yを -> 称して | 呼ぶつもりである
Xは | Yを -> 終って | わす
Xは | Yです -> ことと | わす
Xは | Yを -> 睨め廻 | わす
Xと | Yを -> 睨め廻 | わす
Xは | Yと -> 言ったまま | ふかす
Xは | Yで -> 言ったまま | ふかす
Xか | Yな -> 模様が | 出ているぜと
Xは | Yを -> 見ながら | す
Xは | Yか -> 出ているぜと | す
Xは | Yが -> 出ているぜと | す
Xと -> 答えると | Yだなあと -> 迷亭が | すまして
Xが -> 答えると | Yだなあと -> 迷亭が | すまして
Xは | Yを -> 知らぬ -> 人達だと | 憤る
Xですがと | Yの -> 口を | 切る
Xは | Yの -> 口を | 切る
Xですか | Yと -> 云う -> 標札が | 出ていますなと
Xには | Yと -> 云う -> 標札が | 出ていますなと
Xは | Yで -> 角屋敷なんですが | 認識したようだが
Xは | Yの -> 角屋敷なんですが | 認識したようだが
Xは | Yですか -> 出ていますなと | 認識したようだが
Xは | Yには -> 出ていますなと | 認識したようだが
Xは | Yが -> 出ていますなと | 認識したようだが
Xは | Yと -> 倉を | 認識したようだが
Xは | Yの -> 倉を | 認識したようだが
Xですが | Yですか -> 出ていますなと | 認識したようだが
Xですが | Yには -> 出ていますなと | 認識したようだが
Xですが | Yが -> 出ていますなと | 認識したようだが
Xですが | Yと -> 倉を | 認識したようだが
Xですが | Yの -> 倉を | 認識したようだが
Xは | Yと -> 倉を | 認識したようだが
Xは | Yの -> 倉を | 認識したようだが
Xだが | Yの -> 度合は | 同様である
Xですが | Yの -> 方が | しいもんですからと
Xが | Yの -> 女としては | 存在過ぎるので
Xです | Yも -> 三つも | 兼ねているんです
Xは | Yとか -> いうと | 男であるが
Xは | Yに -> 恐縮する | 男であるが
Xであるが | Yな -> 事には | 低い
Xであるが | Yの -> 度は | 低い
Xには | Yの -> 度は | 低い
Xよりも | Yの -> 方が | えらいと
Xとして | Yの -> 恩顧を | 蒙る
Xでも | Yは -> 覚束ないと | 諦らめている
Xでも | Yの -> 利害には | 無頓着である
Xでも | Yが -> なる -> 見込の | ないと
Xでも | Yに -> なる -> 見込の | ないと
Xだから | Yを -> 除いて | 迂濶で
Xだから | Yの -> 事には | 迂濶で
Xで | Yに -> しているか | 知らん
Xで | Yが -> しているか | 知らん
Xで | Yを -> しているか | 知らん
Xなどでは | Yに -> しているか | 知らん
Xなどでは | Yが -> しているか | 知らん
Xなどでは | Yを -> しているか | 知らん
Xでは | Yに -> 照らされて -> 生活していようとは | 知らない
Xでは | Yが -> 照らされて -> 生活していようとは | 知らない
Xでは | Yに -> 照らされて -> 生活していようとは | 知らない
Xで | Yの -> 家は | 予期していたのである
Xで | Yなどは -> 驚くだろうと | 予期していたのである
Xで | Yから -> 驚くだろうと | 予期していたのである
Xは | Yなどは -> 驚くだろうと | 予期していたのである
Xは | Yから -> 驚くだろうと | 予期していたのである
Xも | Yでも -> 通して行かれる | やで
Xも | Yに -> 通して行かれる | やで
Xも | Yで -> 通して行かれる | やで
Xまで | Yにも -> 接して | 見たが
Xは | Yの -> 伯父の | 友達だ
X | Y -> ざ園遊会へ | なったと
Xは | Yな -> 返事を | する
Xに | Yに -> 向き直って | 見る
Xに | Yの -> 方を | 見る
Xは | Yに -> 向き直って | 見る
Xは | Yの -> 方を | 見る
Xが | Yか -> 云おうとして -> 云わぬ | 先に
Xに | Yか -> 何か | 重ねて
Xは | Yに -> 重ねて | すましている
Xは | Yか -> 重ねて | すましている
Xは | Y -> ハハハハと | 笑っている
Xには | Yに -> なると | 致しておりますと
Xには -> 致しておりますと | Yな -> 言葉使を | して
Xで -> 致しておりますと | Yな -> 言葉使を | して
Xを -> 致しておりますと | Yな -> 言葉使を | して
Xは | Yに -> 取られて | 見ている
Xで | Yな -> 声を | 出す
Xばかりは | Yな -> 声を | 出す
Xに | Yと -> 唐突過ぎたと | 見えて
Xでございますから | Yな -> 所へも | 片付けられませんので
Xでございますから -> 片付けられませんので | Yでと -> 迷亭は | ようやく安心する
Xへも -> 片付けられませんので | Yでと -> 迷亭は | ようやく安心する
Xですがねと | Yを -> 見て | 返る
Xですがねと | Yな -> 言葉に | 返る
Xは | Yを -> 見て | 返る
Xは | Yな -> 言葉に | 返る
Xについて | Y伺おうと -> 思って | 上がったんですがねと
Xでしょう | Yを -> 聞いて | するんですと
Xへ | Yという -> 男が | 上がるそうですが
Xで | Yの -> 一斑を | なりたいという
Xでございますが | Yじゃ -> なりたいと -> おっしゃるんで | 無いんですと
Xでございますが | Yを -> なりたいと -> おっしゃるんで | 無いんですと
Xでございますが | Yに -> なりたいと -> おっしゃるんで | 無いんですと
X | Yの -> 事なんか | 聞かんでも好いでしょうと
Xじゃ | Yの -> 事なんか | 聞かんでも好いでしょうと
Xですから | Yに -> 貰っていただかないだって -> 困りゃ | しません
Xは | Yに -> 坐って | 怒鳴っている
Xは | Yを -> 持って | 怒鳴っている
Xは | Yに -> 持って | 怒鳴っている
Xは | Yで -> よいやと | 怒鳴っている
Xは | Yよいや -> よいやと | 怒鳴っている
Xでしょうね | Yの -> 鉄砲が | 奏しない
Xは | Yの -> 鉄砲が | 奏しない
Xも | Yに -> 挑撥された | ものと
Xも | Yを -> 挑撥された | ものと
Xと -> 見えて | Yを -> 置いて | 乗り出す
Xだ | Yがまた -> 殖えて | 好材料になると
Xだ | Y -> 殖えて | 好材料になると
Xは | Yを -> して | 聞く
Xで | Yは -> 知らん -> 君だと | つまらん
Xになるかも -> 知れませんから | Yが -> ありゃ -> 充分だと | 思いますが
Xでしょうと | Yの -> 指環の | 嵌った
Xも -> 出掛けたじゃありませんか | Yに -> あったでしょう詳しい -> 事は | 言いますまい
Xも -> 出掛けたじゃありませんか | Yで -> あったでしょう詳しい -> 事は | 言いますまい
Xも -> 出掛けたじゃありませんか | Yか -> あったでしょう詳しい -> 事は | 言いますまい
Xは -> 言いますまい | Yの -> 御迷惑になるかも | 知れませんから
Xを | Yの -> 上へ | 直す
Xが -> 放って | Yも -> 有れども | 有様である
Xを -> 放って | Yも -> 有れども | 有様である
Xは | Yとして -> 坐っていたが | 吶喊してくる
Xは | Yに -> 坐っていたが | 吶喊してくる
Xは | Yに -> 復すると共に | 吶喊してくる
Xとして | Yの -> 落ちた -> 病人のように | 坐っていたが
Xも | Yを -> 抜かれた -> ものと | 見えて
Xには | Yを -> 抜かれた -> ものと | 見えて
Xが -> ゆるんで | Yの -> 本態に | 復すると共に
Xばかりは | Yは -> 失礼だと | 睨みつける
Xだ | Y -> 相違ないね | 白状しようじゃないか
Xだ | Yは -> 相違ないね | 白状しようじゃないか
Xだ | Yを -> 相違ないね | 白状しようじゃないか
Xだ | Yってるに -> 相違ないね | 白状しようじゃないか
Xだ | Yが -> ないから | 白状しようじゃないか
Xないね | Yが -> ないから | 白状しようじゃないか
Xでも | Yに関する -> 事実は | 陳述するさ
Xでも | Yの -> ために | 陳述するさ
Xは | Yの -> ために | 陳述するさ
Xだのに | Yが -> あかんじゃないか | ものだねえ
Xだのに | Yという -> ものは | ものだねえ
Xですねえ | Y -> なったんです | 驚ろきますなと
Xですねえ | Yを -> なったんです | 驚ろきますなと
Xですねえ | Yに -> なったんです | 驚ろきますなと
Xからです | Yの -> いる | 車屋ですかと
Xです | Y -> いる -> 車屋の | 神さんからです
Xです | Yに -> いる -> 車屋の | 神さんからです
Xが -> するかと -> 思って | Yを -> 頼んで -> 知らせて | 貰うんです
Xに -> するかと -> 思って | Yを -> 頼んで -> 知らせて | 貰うんです
Xが | Yへ -> 来る -> 度に | するかと
X | Yが -> なさろうと -> おっしゃろうと | 構ってるんじゃないんです
X | Yを -> なさろうと -> おっしゃろうと | 構ってるんじゃないんです
Xだけですよ | Yだって -> 事だって | 奴だと
Xだけですよ | Yの -> 事だって | 奴だと
Xだけですよ | Yの -> 神さんは | 奴だと
Xだけですよ | Yに -> 食わん | 奴だと
Xだって | Yの -> 神さんは | 奴だと
Xだって | Yに -> 食わん | 奴だと
Xは | Yに -> 食わん | 奴だと
Xは | Yへ -> 御這入んなさるが | いいでしょうと
Xは | Yした -> 様子が | ない
Xをですか | Yばかりの -> 事じゃ | ありませんと
Xからも | Yな -> 事を | 聞いています
Xは -> 恐れ入るかと -> 思うと | Yは -> 馬鹿野郎です | 女ですよ
Xに -> ぶって | Yだけ -> 人間らしい -> 顔を | している
X -> ぶって | Yだけ -> 人間らしい -> 顔を | している
Xは | Yを -> している | 馬鹿野郎です
Xですと | Yの -> 言葉使いは | あらわして来る
Xであるが | Yへ -> 行くと | 聞いている
Xでは | Yを -> しに -> 来たような | ものであるが
Xが | Yな -> 顔を | して
Xでは | Yした -> 主人は | やむを得ざるに至らしめられていたが
Xでは | Yを -> 守るの | やむを得ざるに至らしめられていたが
Xは | Yを -> 守るの | やむを得ざるに至らしめられていたが
Xは -> おっしゃるが | Yじゃ -> 違いますぜ | 迷亭君と
Xにばかり -> おっしゃるが | Yじゃ -> 違いますぜ | 迷亭君と
Xは | Yから -> 恋着したようにばかり | おっしゃるが
Xは | Yに -> 恋着したようにばかり | おっしゃるが
Xと | Yの -> 救いを | 求める
Xと | Yの -> 言葉使いを | する
Xは | Yの -> 言葉使いを | する
Xの -> 話しじゃ | Yの -> 方が | なって
Xに -> 聞いたね | Yそんな -> 事は | ありませんと
Xが | Yの -> 手なんでさあ | 見たんで
Xが | Yを -> 引いて | 見たんで
Xなんでさあ | Yを -> 引いて | 見たんで
Xは -> 云っていましたぜ -> さあね | Yは -> 引き受けたんですか | ええ
Xは -> 云っていましたぜ -> さあね | Yを -> 引き受けたんですか | ええ
Xは -> 云っていましたぜ -> さあね | Yで -> 引き受けたんですか | ええ
Xが -> 見たんで -> さあね | Yは -> 引き受けたんですか | ええ
Xが -> 見たんで -> さあね | Yを -> 引き受けたんですか | ええ
Xが -> 見たんで -> さあね | Yで -> 引き受けたんですか | ええ
Xなんでさあ -> 見たんで -> さあね | Yは -> 引き受けたんですか | ええ
Xなんでさあ -> 見たんで -> さあね | Yを -> 引き受けたんですか | ええ
Xなんでさあ -> 見たんで -> さあね | Yで -> 引き受けたんですか | ええ
Xは -> 云っていましたぜ | Yが -> 見たんで | さあね
Xは -> 云っていましたぜ | Yなんでさあ -> 見たんで | さあね
Xを -> 頼んで | Yの -> 気を | 引いて
Xは | Yから -> 聞いたと | 云っていましたぜ
Xを | Yり -> 葉堀り御聞きに | ならなくっちゃ
Xですから | Yに -> ならないと -> 云う -> 決心ですかねと | 悪くしたと
Xですから -> 悪くしたと -> 見えて | Yに -> なく | 使う
Xですかねと -> 悪くしたと -> 見えて | Yに -> なく | 使う
Xも -> 悪くしたと -> 見えて | Yに -> なく | 使う
Xを -> 悪くしたと -> 見えて | Yに -> なく | 使う
Xに -> なく | Yの -> あらい -> 言葉を | 使う
X | Y -> 話しますからね | いいですね
X | Yでも -> 話しますからね | いいですね
X | Yは -> 話しますからね | いいですね
X | Y -> 話しますからね | いいですね
X | Yでも -> ない -> 事は | 話しますからね
X | Yで -> ない -> 事は | 話しますからね
X | Yの -> ない -> 事は | 話しますからね
Xでも | Yでも -> ない -> 事は | 話しますからね
Xでも | Yで -> ない -> 事は | 話しますからね
Xでも | Yの -> ない -> 事は | 話しますからね
Xでも | Yに関する -> 事実で | ない
Xも | Yに対してはまた -> もとのごとく | なる
Xでございます | Yの -> 研究を | やっていますと
Xでは | Yの -> 研究を | やっていますと
Xだから | Yな -> 顔を | している
Xは | Yを -> 見てい | する
Xに -> なるか -> ならんかは | Yする -> 事が | 出来んから
Xが -> 出来んから | Yを -> 聞いていただく -> 事に | しようと
Xしましたと | Yも -> 付かずに | 云う
Xは | Yも -> 付かずに | 云う
Xでも | Yの -> 何かを | 勉強しているんでございましょうか
Xでございましょうか | Yの -> 結果を | 演説しましたと
Xは | Yの -> 結果を | 演説しましたと
Xは | Yを -> 見て | 窺う
Xっちゃあ -> むずかしいですが | Yなら -> 成れないとも | 限らんです
Xに -> 関すると -> 思ってか | Yの -> 顔色で | 見る
Xを -> 尋ねては | Yの -> 面目に | 関すると
Xしておりますまいか | Yを -> 書いた -> 事が | あります
Xしておりますまいか -> あります | Yなんぞでも -> 勉強する | ものでしょうか
Xしておりますまいか -> あります | Yで -> 勉強する | ものでしょうか
Xが -> あります | Yなんぞでも -> 勉強する | ものでしょうか
Xが -> あります | Yで -> 勉強する | ものでしょうか
Xだから | Yする -> 価値が | あると
Xでしょうか | Yも -> 素人だから | 分らんが
Xだって -> 論じて -> 併せて | Yの -> 運行に | 及ぶと
Xを -> 論じて -> 併せて | Yの -> 運行に | 及ぶと
Xだって | Yの -> スタビリチーを | 論じて
Xでしょうか -> 分らんが | Yだから -> あると | 見えますなと
Xでしょうか -> 分らんが | Yが -> あると | 見えますなと
Xだから -> 分らんが | Yだから -> あると | 見えますなと
Xだから -> 分らんが | Yが -> あると | 見えますなと
Xに | Y -> 易い -> ものを | 勉強しておりますまいか
Xか | Y -> 易い -> ものを | 勉強しておりますまいか
Xは | Yと -> 見えて | 転ずる
Xは -> 違いますが | Yに -> 食べて | 折ったそうじゃございませんか
Xは -> 違いますが | Yを -> 食べて | 折ったそうじゃございませんか
Xでしょう | Y -> 逢ったら | 注意しておきましょうと
Xで -> かけるくらいじゃ | Yの -> 性が | 悪いと
Xが -> かけるくらいじゃ | Yの -> 性が | 悪いと
Xでしょう | Yとは -> 言われますまいな | ねえ迷亭
X | Yは -> ないが | あるよ
Xだぜ | Yで -> しておくんでしょうか | 訳でもないでしょうから御安心なさいよと
Xだぜ | Yなりに -> しておくんでしょうか | 訳でもないでしょうから御安心なさいよと
Xだぜ | Yを -> 名乗る | 訳でもないでしょうから御安心なさいよと
Xでしょうか | Yを -> 名乗る | 訳でもないでしょうから御安心なさいよと
Xも | Yを -> 名乗る | 訳でもないでしょうから御安心なさいよと
Xなさいよと | Yの -> 機嫌は | 回復してくる
Xでございますが | Yなら -> あります | 御覧なさいと
Xは | Yな -> 面白いでしょうと | 出す
Xは | Yの -> 絵葉書を | 出す
Xだけ | Y -> 好いのを | やろうと
Xだけ | Yが -> 好いのを | やろうと
Xでしょうね | Yと -> 見えるから | 不思議だよと
Xは | Yが -> 読むように | 読み出す
Xは | Yを -> 読むように | 読み出す
X | Yが -> やって | 舞踏します
X | Yを -> やって | 舞踏します
Xに | Y -> 来いさと | しの
X | Yです -> こりゃ | 馬鹿にしているじゃございませんかと
Xですが | Yですよ -> なさい | ある
Xですが | Y -> なさい | ある
Xですよ | Yより -> 読んで | なさい
Xですよ | Yを -> 読んで | なさい
Xし | Yの -> 天文学者が | ありました
Xに | Yの -> 天文学者が | ありました
Xは | Yも -> 忘れて | 聞き惚れてしまいました
Xでは | Yな -> 音楽を | 奏し出したので
X -> 見ると | Yの -> 死骸に | 降っていました
Xだと | Yの -> 爺やが | 申しました
Xだと -> 申しました | Yですこりゃ -> ないじゃありませんか | 通るんですかね
Xだと -> 申しました | Yも -> ないじゃありませんか | 通るんですかね
Xだと -> 申しました | Yも -> ないじゃありませんか | 通るんですかね
Xやが -> 申しました | Yですこりゃ -> ないじゃありませんか | 通るんですかね
Xやが -> 申しました | Yも -> ないじゃありませんか | 通るんですかね
Xやが -> 申しました | Yも -> ないじゃありませんか | 通るんですかね
Xは | Yが -> 印刷してあって | 書き散らしてある
Xは | Yの -> ごとく | 書き散らしてある
Xしてあって | Yの -> ごとく | 書き散らしてある
Xなら -> 乗りますよ | Yに -> 乗りゃ | 本物だ
Xに -> 乗りますよ | Yに -> 乗りゃ | 本物だ
X | Yの -> ねえ | 話せるじゃありませんか
X | Yだ -> 事 | 話せるじゃありませんか
Xて | Yの -> 千鳥に | 泣いた
Xすれば | Yは -> 沢山で | 分りましたからと
Xで | Yの -> 質問を | えた
Xは | Yと -> 見えて | 致しました
Xは -> 願いますと | Yな -> 要求を | する
Xへは -> 願いますと | Yな -> 要求を | する
Xに -> 願いますと | Yな -> 要求を | する
Xは -> 聞かなければならないが | Yは -> 知らしてはならないと -> 云う -> 方針と | 見える
Xは -> 聞かなければならないが | Y -> 知らしてはならないと -> 云う -> 方針と | 見える
Xは -> 聞かなければならないが | Yへ -> 知らしてはならないと -> 云う -> 方針と | 見える
Xでも -> 聞かなければならないが | Yは -> 知らしてはならないと -> 云う -> 方針と | 見える
Xでも -> 聞かなければならないが | Y -> 知らしてはならないと -> 云う -> 方針と | 見える
Xでも -> 聞かなければならないが | Yへ -> 知らしてはならないと -> 云う -> 方針と | 見える
Xも | Yの -> ない -> 返事を | すると
Xも -> すると | Yを -> 入れて -> 言いながら | 立つ
Xを -> すると | Yを -> 入れて -> 言いながら | 立つ
Xは | Yを -> 出して | 来ましたぜ
Xは | Yの -> 標本が | 来ましたぜ
Xは | Yで -> 云うと | 付ける
Xは | Yだと -> 云うと | 付ける
Xは | Yに -> 云うと | 付ける
Xは | Yに -> 構えているなあと | 付ける
